REGION,SETTLEMENTDATE,TOTALDEMAND,RRP,PERIODTYPE
VIC1,1/1/15 0:30,4594.19,20.1,TRADE
VIC1,1/1/15 1:00,4395.72,20.2,TRADE
VIC1,1/1/15 1:30,4225.04,15.2,TRADE
VIC1,1/1/15 2:00,4051.82,14.2,TRADE
VIC1,1/1/15 2:30,3945.14,14.2,TRADE
VIC1,1/1/15 3:00,3861.07,14.2,TRADE
VIC1,1/1/15 3:30,3791.92,14.2,TRADE
VIC1,1/1/15 4:00,3771.59,14.2,TRADE
VIC1,1/1/15 4:30,3765.99,14.2,TRADE
VIC1,1/1/15 5:00,3781.36,14.2,TRADE
VIC1,1/1/15 5:30,3771.39,14.2,TRADE
VIC1,1/1/15 6:00,3790.19,14.2,TRADE
VIC1,1/1/15 6:30,3882.4,14.2,TRADE
VIC1,1/1/15 7:00,3939.12,14.2,TRADE
VIC1,1/1/15 7:30,3915.53,16.38,TRADE
VIC1,1/1/15 8:00,3987.38,17.93,TRADE
VIC1,1/1/15 8:30,4015.35,16.56,TRADE
VIC1,1/1/15 9:00,4048.26,14.2,TRADE
VIC1,1/1/15 9:30,4090.48,14.2,TRADE
VIC1,1/1/15 10:00,4173.39,14.46,TRADE
VIC1,1/1/15 10:30,4190.55,14.2,TRADE
VIC1,1/1/15 11:00,4240.28,14.2,TRADE
VIC1,1/1/15 11:30,4262.65,14.2,TRADE
VIC1,1/1/15 12:00,4237,16.72,TRADE
VIC1,1/1/15 12:30,4180.52,14.2,TRADE
VIC1,1/1/15 13:00,4211.01,22.82,TRADE
VIC1,1/1/15 13:30,4279.97,20.7,TRADE
VIC1,1/1/15 14:00,4388.31,38.45,TRADE
VIC1,1/1/15 14:30,4391.74,88.56,TRADE
VIC1,1/1/15 15:00,4435.57,72.93,TRADE
VIC1,1/1/15 15:30,4496.63,68.33,TRADE
VIC1,1/1/15 16:00,4511.82,27.91,TRADE
VIC1,1/1/15 16:30,4587.15,81.51,TRADE
VIC1,1/1/15 17:00,4699.26,58.55,TRADE
VIC1,1/1/15 17:30,4726.63,68.9,TRADE
VIC1,1/1/15 18:00,4748.53,24.06,TRADE
VIC1,1/1/15 18:30,4701.77,21.06,TRADE
VIC1,1/1/15 19:00,4631.58,-7.24,TRADE
VIC1,1/1/15 19:30,4525.04,11.51,TRADE
VIC1,1/1/15 20:00,4529.2,57.87,TRADE
VIC1,1/1/15 20:30,4574.98,16.84,TRADE
VIC1,1/1/15 21:00,4566.32,22.47,TRADE
VIC1,1/1/15 21:30,4407.49,23.7,TRADE
VIC1,1/1/15 22:00,4217.13,18.65,TRADE
VIC1,1/1/15 22:30,4115.35,18.79,TRADE
VIC1,1/1/15 23:00,4136.53,17.06,TRADE
VIC1,1/1/15 23:30,4479.72,21.09,TRADE
VIC1,1/2/15 0:00,4477.62,19.96,TRADE
VIC1,1/2/15 0:30,4196.31,20.55,TRADE
VIC1,1/2/15 1:00,4040.57,17.77,TRADE
VIC1,1/2/15 1:30,3916.25,15.03,TRADE
